,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
267,Alma porteña,Tango,https://www.todotango.com/musica/tema/2879/Alma-portena/,True,False,False,True,False
269,Alma tanguera,Tango,https://www.todotango.com/musica/tema/7692/Alma-tanguera/,True,False,False,False,True
270,Almacén,Tango,https://www.todotango.com/musica/tema/7030/Almacen/,True,True,False,True,False
273,Almagro,Tango,https://www.todotango.com/musica/tema/627/Almagro/,True,True,True,True,False
274,Almagro [b],Tango,https://www.todotango.com/musica/tema/9808/Almagro-[b]/,True,True,False,False,True
275,Almanaque de ilusión,Tango,https://www.todotango.com/musica/tema/7442/Almanaque-de-ilusion/,True,True,True,False,True
277,Almita,Tango,https://www.todotango.com/musica/tema/4866/Almita/,True,False,False,False,True
278,Almita [b],Tango,https://www.todotango.com/musica/tema/6116/Almita-[b]/,True,False,False,True,False
279,Almita herida,Tango,https://www.todotango.com/musica/tema/9/Almita-herida/,True,True,True,True,False
280,Alondras,Tango,https://www.todotango.com/musica/tema/1285/Alondras/,True,False,False,True,False
281,Alta clase,Tango,https://www.todotango.com/musica/tema/7863/Alta-clase/,True,True,False,False,True
282,Altar sin luz,Tango,https://www.todotango.com/musica/tema/3356/Altar-sin-luz/,True,False,False,False,True
283,Alvear,Tango,https://www.todotango.com/musica/tema/4102/Alvear/,True,False,False,False,True
287,Amado espejismo,Tango,https://www.todotango.com/musica/tema/10118/Amado-espejismo/,True,False,False,False,True
288,Amanece,Tango,https://www.todotango.com/musica/tema/2017/Amanece/,True,False,False,False,True
289,Amanece [b],Tango,https://www.todotango.com/musica/tema/6379/Amanece-[b]/,True,False,False,False,True
292,Amar a besos,Tango,https://www.todotango.com/musica/tema/1720/Amar-a-besos/,True,True,False,False,True
293,Amar para qué,Tango,https://www.todotango.com/musica/tema/3500/Amar-para-que/,True,False,False,False,True
294,Amar sin final,Tango,https://www.todotango.com/musica/tema/10058/Amar-sin-final/,True,False,False,False,False
295,Amarga sospecha,Tango,https://www.todotango.com/musica/tema/2061/Amarga-sospecha/,True,False,False,False,True
296,Amargor,Tango,https://www.todotango.com/musica/tema/5329/Amargor/,True,False,False,False,True
297,Amargura,Tango,https://www.todotango.com/musica/tema/209/Amargura/,True,False,True,True,False
299,Amarras,Tango,https://www.todotango.com/musica/tema/1021/Amarras/,True,False,True,True,False
300,Amarroto,Tango,https://www.todotango.com/musica/tema/1224/Amarroto/,True,False,False,False,True
302,Ambiciosa,Tango,https://www.todotango.com/musica/tema/6993/Ambiciosa/,True,True,False,False,True
303,Ambiciosa [b],Tango,https://www.todotango.com/musica/tema/7826/Ambiciosa-[b]/,True,True,False,False,True
304,Amiga,Tango,https://www.todotango.com/musica/tema/868/Amiga/,True,False,False,False,True
305,Amigazo,Tango,https://www.todotango.com/musica/tema/79/Amigazo/,True,True,True,True,False
306,Amigo hermano del corazón,Tango,https://www.todotango.com/musica/tema/9895/Amigo-hermano-del-corazon/,True,False,False,False,True
307,Amigos no,Tango,https://www.todotango.com/musica/tema/2423/Amigos-no/,True,False,False,False,True
308,Amigos que yo quiero,Tango,https://www.todotango.com/musica/tema/1719/Amigos-que-yo-quiero/,True,False,True,True,False
309,Amor,Tango,https://www.todotango.com/musica/tema/836/Amor/,True,True,False,False,True
314,Amor de a tres,Tango,https://www.todotango.com/musica/tema/9901/Amor-de-a-tres/,True,False,False,False,True
315,Amor de ayer,Tango,https://www.todotango.com/musica/tema/7097/Amor-de-ayer/,True,True,False,False,True
317,Amor de juguete,Tango,https://www.todotango.com/musica/tema/2025/Amor-de-juguete/,True,False,False,False,True
318,Amor de marinero,Tango,https://www.todotango.com/musica/tema/2880/Amor-de-marinero/,True,True,False,True,False
319,Amor de payaso,Tango,https://www.todotango.com/musica/tema/2164/Amor-de-payaso/,True,True,False,True,False
320,Amor de tango,Tango,https://www.todotango.com/musica/tema/5909/Amor-de-tango/,True,False,False,False,True
321,Amor de verano,Tango,https://www.todotango.com/musica/tema/2027/Amor-de-verano/,True,False,False,False,False
323,Amor en gris,Tango,https://www.todotango.com/musica/tema/4817/Amor-en-gris/,True,True,False,False,True
324,Amor en libertad,Tango,https://www.todotango.com/musica/tema/8373/Amor-en-libertad/,True,False,False,False,True
325,Amor en remolino,Tango,https://www.todotango.com/musica/tema/81/Amor-en-remolino/,True,False,False,False,True
326,Amor en sombras,Tango,https://www.todotango.com/musica/tema/8051/Amor-en-sombras/,True,False,False,False,True
