,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
1735,El emigrante,Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/6872/El-emigrante/,True,True,False,False,5,True
1967,Embrujo [c],Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/2086/Embrujo-[c]/,True,False,False,False,5,True
4170,Poderoso,Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/3429/Poderoso/,True,True,False,False,5,True
4333,Puñadito de sal,Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/1964/Punadito-de-sal/,True,True,False,False,5,True
4796,Sol de mi tierra,Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/7930/Sol-de-mi-tierra/,True,True,False,False,5,True
5502,Virgen morena,Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/6788/Virgen-morena/,True,False,False,False,5,True
1834,El pescado,Milonga,Milongón,https://www.todotango.com/musica/tema/3583/El-pescado/,True,True,False,False,4,True
5480,Viejo trombón,Milonga,Milongón,https://www.todotango.com/musica/tema/3698/Viejo-trombon/,True,False,False,False,4,True
680,Brindis,Tango,Canción-tango,https://www.todotango.com/musica/tema/6149/Brindis/,True,False,False,False,7,True
580,Bárbara,Vals,Vals peruano,https://www.todotango.com/musica/tema/9684/Barbara/,True,True,False,False,8,True
5585,Y cuando te nombre,Vals,Vals peruano,https://www.todotango.com/musica/tema/4317/Y-cuando-te-nombre/,True,False,False,False,8,True
5697,Yo soy criollo compañero,Tango,Tango-estilo,https://www.todotango.com/musica/tema/7232/Yo-soy-criollo-companero/,True,True,False,False,7,True
3323,Mentiras,Folklore,Tonada salteña,https://www.todotango.com/musica/tema/1539/Mentiras/,True,False,False,True,2,True
3429,Mi zambita rea,Folklore,Aire de zamba,https://www.todotango.com/musica/tema/7119/Mi-zambita-rea/,True,False,False,False,2,True
5136,Torrente de amor,Folklore,Canción del litoral,https://www.todotango.com/musica/tema/2114/Torrente-de-amor/,True,False,False,False,2,True
0,A bailar,Tango,Tango,https://www.todotango.com/musica/tema/130/A-bailar/,True,False,False,False,7,True
1,A bailar el tango,Tango,Tango,https://www.todotango.com/musica/tema/7866/A-bailar-el-tango/,True,True,False,False,7,True
5,A cara limpia,Tango,Tango,https://www.todotango.com/musica/tema/6354/A-cara-limpia/,True,False,False,False,7,True
6,A cara o cruz,Tango,Tango,https://www.todotango.com/musica/tema/6455/A-cara-o-cruz/,True,False,False,False,7,True
9,A Cátulo Castillo,Tango,Tango,https://www.todotango.com/musica/tema/33/A-Catulo-Castillo/,True,False,False,True,7,False
10,A cielo partido,Tango,Tango,https://www.todotango.com/musica/tema/6532/A-cielo-partido/,True,False,False,False,7,False
11,A contramano,Tango,Tango,https://www.todotango.com/musica/tema/2304/A-contramano/,True,False,False,False,7,False
14,A Don Javier,Tango,Tango,https://www.todotango.com/musica/tema/8733/A-Don-Javier/,True,False,False,False,7,False
17,A escuchar tangos,Tango,Tango,https://www.todotango.com/musica/tema/6154/A-escuchar-tangos/,True,False,False,False,7,True
19,A Francisco De Caro,Tango,Tango,https://www.todotango.com/musica/tema/4559/A-Francisco-De-Caro/,True,False,False,False,7,True
20,A Homero,Tango,Tango,https://www.todotango.com/musica/tema/66/A-Homero/,True,False,True,True,7,False
21,A Horacio Ferrer,Tango,Tango,https://www.todotango.com/musica/tema/8347/A-Horacio-Ferrer/,True,False,False,False,7,True
22,A Horacio Ferrer [b],Tango,Tango,https://www.todotango.com/musica/tema/9323/A-Horacio-Ferrer-[b]/,True,False,False,False,7,True
25,A José Neira,Tango,Tango,https://www.todotango.com/musica/tema/3648/A-Jose-Neira/,True,False,False,False,7,True
27,A la gran muñeca,Tango,Tango,https://www.todotango.com/musica/tema/926/A-la-gran-muneca/,True,True,True,True,7,False
29,A la luz del candil,Tango,Tango,https://www.todotango.com/musica/tema/1198/A-la-luz-del-candil/,True,True,False,True,7,False
33,A la mujer argentina,Tango,Tango,https://www.todotango.com/musica/tema/3633/A-la-mujer-argentina/,True,False,False,False,7,True
36,A la sombra del recuerdo,Tango,Tango,https://www.todotango.com/musica/tema/4557/A-la-sombra-del-recuerdo/,True,False,False,False,7,True
37,A las ocho... ¡Tango Club!...,Tango,Tango,https://www.todotango.com/musica/tema/3857/A-las-ocho-Tango-Club/,True,True,False,False,7,True
38,A las siete en el café,Tango,Tango,https://www.todotango.com/musica/tema/2579/A-las-siete-en-el-cafe/,True,False,False,True,7,False
